Entity,Code,Day,Don't know,Not very worried,Not worried at all,Very worried,Fairly worried
18-29 years,,2021-01-14,13,34,23,15,16
18-29 years,,2021-07-15,10,37,14,13,26
18-29 years,,2022-01-13,13,43,21,6,17
18-29 years,,2022-07-14,10,37,18,13,21
18-29 years,,2023-01-12,13,26,16,15,30
18-29 years,,2023-07-13,6,35,21,8,29
18-29 years,,2024-01-11,7,31,15,16,31
18-29 years,,2024-07-11,8,39,16,13,24
18-29 years,,2025-01-09,4,38,19,12,26
18-29 years,,2025-07-10,9,32,19,9,32
2-year post-secondary education,,2021-01-14,6,25,37,13,18
2-year post-secondary education,,2021-07-15,23,21,29,9,18
2-year post-secondary education,,2022-01-13,4,28,33,9,27
2-year post-secondary education,,2022-07-14,5,46,32,9,9
2-year post-secondary education,,2023-01-12,6,27,26,12,29
2-year post-secondary education,,2023-07-13,4,31,29,11,25
2-year post-secondary education,,2024-01-11,7,21,28,10,34
2-year post-secondary education,,2024-07-11,7,37,26,8,23
2-year post-secondary education,,2025-01-09,1,34,27,10,28
2-year post-secondary education,,2025-07-10,4,37,28,10,21
30-44 years,,2021-01-14,4,30,36,9,21
30-44 years,,2021-07-15,20,31,26,12,11
30-44 years,,2022-01-13,9,33,24,11,23
30-44 years,,2022-07-14,6,39,22,9,23
30-44 years,,2023-01-12,8,33,15,16,28
30-44 years,,2023-07-13,5,34,20,11,30
30-44 years,,2024-01-11,7,35,18,12,29
30-44 years,,2024-07-11,2,33,22,12,32
30-44 years,,2025-01-09,3,39,22,16,20
30-44 years,,2025-07-10,6,38,20,11,26
4-year post-secondary education,,2021-01-14,5,39,33,9,14
4-year post-secondary education,,2021-07-15,12,30,27,13,18
4-year post-secondary education,,2022-01-13,6,44,28,5,17
4-year post-secondary education,,2022-07-14,2,46,21,10,21
4-year post-secondary education,,2023-01-12,6,29,31,13,21
4-year post-secondary education,,2023-07-13,2,42,25,7,25
4-year post-secondary education,,2024-01-11,3,44,20,8,24
4-year post-secondary education,,2024-07-11,2,36,27,9,26
4-year post-secondary education,,2025-01-09,6,38,19,13,25
4-year post-secondary education,,2025-07-10,4,38,23,10,25
45-64 years,,2021-01-14,6,33,49,4,8
45-64 years,,2021-07-15,2,32,49,2,15
45-64 years,,2022-01-13,5,43,38,4,11
45-64 years,,2022-07-14,3,39,41,6,12
45-64 years,,2023-01-12,3,35,44,6,12
45-64 years,,2023-07-13,5,36,39,5,15
45-64 years,,2024-01-11,3,35,41,7,14
45-64 years,,2024-07-11,3,34,39,10,15
45-64 years,,2025-01-09,7,35,30,9,19
45-64 years,,2025-07-10,4,41,32,8,15
65+ years,,2021-01-14,4,32,51,4,9
65+ years,,2021-07-15,4,21,65,6,5
65+ years,,2022-01-13,3,27,55,5,9
65+ years,,2022-07-14,0,33,57,7,3
65+ years,,2023-01-12,7,29,62,3,0
65+ years,,2023-07-13,0,29,58,4,8
65+ years,,2024-01-11,4,16,71,0,8
65+ years,,2024-07-11,3,40,54,0,3
65+ years,,2025-01-09,0,32,68,0,0
65+ years,,2025-07-10,0,16,69,0,14
All adults,,2021-01-14,7,32,38,9,14
All adults,,2021-07-15,11,32,33,8,16
All adults,,2022-01-13,8,38,30,7,17
All adults,,2022-07-14,5,38,30,9,17
All adults,,2023-01-12,7,32,28,12,21
All adults,,2023-07-13,5,35,29,8,23
All adults,,2024-01-11,5,33,29,10,23
All adults,,2024-07-11,4,35,28,10,22
All adults,,2025-01-09,4,37,27,11,20
All adults,,2025-07-10,6,37,25,9,23
Female,,2021-01-14,5,39,37,6,12
Female,,2021-07-15,12,36,30,8,13
Female,,2022-01-13,9,39,27,9,16
Female,,2022-07-14,5,45,30,4,16
Female,,2023-01-12,9,36,31,8,17
Female,,2023-07-13,5,35,30,8,22
Female,,2024-01-11,5,34,29,10,22
Female,,2024-07-11,4,32,28,10,25
Female,,2025-01-09,5,41,23,13,18
Female,,2025-07-10,8,39,21,9,23
High school graduates,,2021-01-14,8,28,40,8,16
High school graduates,,2021-07-15,11,29,37,7,17
High school graduates,,2022-01-13,12,37,32,8,11
High school graduates,,2022-07-14,12,29,34,9,16
High school graduates,,2023-01-12,10,25,29,9,27
High school graduates,,2023-07-13,11,25,28,10,26
High school graduates,,2024-01-11,7,33,26,10,24
High school graduates,,2024-07-11,5,35,28,12,19
High school graduates,,2025-01-09,4,40,28,10,18
High school graduates,,2025-07-10,9,33,29,8,21
Male,,2021-01-14,8,26,39,10,16
Male,,2021-07-15,9,29,36,9,17
Male,,2022-01-13,7,38,34,5,17
Male,,2022-07-14,6,32,31,13,18
Male,,2023-01-12,6,28,26,15,25
Male,,2023-07-13,5,35,29,7,24
Male,,2024-01-11,5,32,29,10,23
Male,,2024-07-11,4,37,29,11,20
Male,,2025-01-09,4,34,30,10,23
Male,,2025-07-10,4,34,30,9,23
No high school education,,2021-01-14,28,39,11,12,10
No high school education,,2021-07-15,16,15,38,13,18
No high school education,,2022-01-13,25,24,18,6,27
No high school education,,2022-07-14,0,28,30,21,21
No high school education,,2023-01-12,13,25,12,34,16
No high school education,,2023-07-13,7,29,17,17,30
No high school education,,2024-01-11,9,28,24,21,18
No high school education,,2024-07-11,17,25,24,14,19
No high school education,,2025-01-09,0,30,38,27,5
No high school education,,2025-07-10,8,55,17,0,19
Post-graduate education,,2021-01-14,2,26,55,6,10
Post-graduate education,,2021-07-15,0,42,47,5,5
Post-graduate education,,2022-01-13,6,43,33,4,14
Post-graduate education,,2022-07-14,0,41,38,5,16
Post-graduate education,,2023-01-12,4,44,25,11,15
Post-graduate education,,2023-07-13,2,44,30,4,20
Post-graduate education,,2024-01-11,1,30,43,11,16
Post-graduate education,,2024-07-11,2,42,26,8,22
Post-graduate education,,2025-01-09,3,38,33,12,15
Post-graduate education,,2025-07-10,3,41,21,5,30
Some college,,2021-01-14,5,42,34,6,13
Some college,,2021-07-15,3,47,31,5,15
Some college,,2022-01-13,6,35,31,10,17
Some college,,2022-07-14,6,34,32,9,19
Some college,,2023-01-12,7,39,31,7,15
Some college,,2023-07-13,3,37,39,5,15
Some college,,2024-01-11,5,30,37,11,16
Some college,,2024-07-11,1,27,35,13,24
Some college,,2025-01-09,8,35,27,9,20
Some college,,2025-07-10,6,36,26,12,21
White,,2021-01-14,4,33,44,8,11
White,,2021-07-15,11,32,35,8,14
White,,2022-01-13,6,41,34,4,16
White,,2022-07-14,2,40,35,9,14
White,,2023-01-12,5,35,33,9,18
White,,2023-07-13,3,39,31,6,21
White,,2024-01-11,3,33,34,8,22
White,,2024-07-11,3,36,29,8,23
White,,2025-01-09,5,38,29,8,20
White,,2025-07-10,5,40,27,5,23